Question	Category
abbb Outstg issunces1	Unknown Intent
who is eaton's top competitors?	Specific Search
what banks are discussing Fintech development	Information Search
What's the latest on LUMA Energy?	General Search
what is gas chromatography?	Specific Search
Did any electric utilities discuss O&M reduction during Q3 2020 earnings calls?	General Search
crater	General Search
how do you fluidize a poweder?	Deep Search
how does the gun distance affect mottling	Deep Search
what was wescos q1 2021 sales growth?	Deep Search
What is revenue forecast for power transmission	Deep Search
can i fix different film build on one side of the body?	Specific Search
what is Shaping Air	Specific Search
HBAN FR Y-9LP	General Search
what is the best range of booth temperatura and humidity	Specific Search
What causes swelling	Specific Search
test logging with v1	Specific Search
what is the clearcoat mix ratio?	Specific Search
what did contractors say about the transmission market during q1 2021 earnings?	General Search
tell me about jp morgan	Information Search
what is the influence of high voltage?	Specific Search
What is the additive color mixture?	Specific Search
what is visc	Specific Search
us bank deposit growt	Specific Search
paint gun	General Search
what is a 2K isocyanate paint?	Specific Search
pseudoplastic fluid flow example	Specific Search
what did first horizon say about fintech	General Search
what is a fatty acid?	Specific Search
what is tristate saying about fintech	Specific Search
what is popping	Specific Search
Why does the top coat not stick?	Deep Search
verizon and 5g	General Search
What is L*a*b*?	Specific Search
how to improve sagging	Deep Search
ASTM	General Search
what is delta E	Specific Search
picture of a high rotation bell	Specific Search
What comments were made during Q3 2020 earnings calls related to transmission?	General Search
how to solve hologram marks	Deep Search
What is a blister?	Specific Search
how many banks in conneticut	Numerical Search
blisters on plastics	General Search
absorption spectra of uv absorbers	General Search
who runs refinish in north america	Specific Search
paste degradation	General Search
mottle	General Search
what is a run-out	Specific Search
Did Evergy see lower O&M costs in 2020?	Information Search
who are eaton's top competitors?	Specific Search
CNF	General Search
What problems can be caused by high film wetness?	Deep Search
brushability	General Search
pseudoplastic	General Search
what is a typicall bell speed?	Specific Search
wind energy production tax credit extension	Deep Search
what causes haze	Specific Search
which banks were responsible for the economic crisis of 2008	Specific Search
I have to much dirt in the base coat	Unknown Intent
how is the oil sector doing	General Search
What is dE*?	Specific Search
my net income	Numerical Search
What are banks saying about loan pricing and structure trends	General Search
what is long wave and short wave	Specific Search
what banks are discussing Fintech partnership	General Search
what products is abb going to release in 2021?	Specific Search
Has Quanta made any recent acquisitions?	General Search
What can be the cause of dirt?	Specific Search
what is a corrosion defect	Specific Search
what is ATOMIZER	Specific Search
what are contractors saying about the utility market in q1 2021?	Information Search
does bell speed impact appearance?	Specific Search
what is wescos utility outlook in 2021?	General Search
net interest margin at pnc	Information Search
What is rheology?	Specific Search
what is pop?	Specific Search
What are they saying about loan pricing and structure trends	General Search
what is biden ev plan	Deep Search
how does electron beam curing work?	Deep Search
what is ecoat	Specific Search
Which banks are contemplating being acquired	Specific Search
color	General Search
twingloss	General Search
run outs	General Search
calculation of dE	Specific Search
What is a pinhol	Specific Search
cymel	General Search
Top 20 fastest growing banks in the USA	Specific Search
Has Siemens recently completed any divestitures?	General Search
what's the biggest wealth management firm in the us	Ranking Search
Luwipal 072	General Search
what banks are discussing Fintech competition?/	Information Search
what did contractors say about COVID-19 during q1 2021 earnings?	Specific Search
what is the effect of bell rotation speed to color	Specific Search
pinhole on ed-coat	General Search
what is L,a,b value	Specific Search
We focus primarily on commercial lending	General Search
earnings	Specific Search
what banks are discussing Fintech competition?	Information Search
visible light wavelength	General Search
what is your purpose?	Unknown Intent
what is surface tension	Specific Search
siloxane crosslinking	General Search
who mentions ev infrastructure	General Search
how to avoid poor interior hiding	Deep Search
what are my peers saying about electric vehicles	Deep Search
what is the cause of crater	Specific Search
what was eaton's revenue in their electrical americas segment?	Information Search
pvd	General Search
gassing	General Search
how can I improve gloss?	Deep Search
how hard is talc?	Deep Search
what is  difference between Ecoat crater and Paint crater	Specific Search
when was sunnyside bancorp incorporated in the state of maryland	Specific Search
kratzer im Lack	Unknown Intent
revenue	Numerical Search
how to improve mottle?	Deep Search
Al aggregation	General Search
what is small holes	Specific Search
what is metamerism?	Specific Search
Which banks are contemplating being acquired?	Specific Search
what banks are talking about fintech competition	General Search
what was mastec's communication segment revenue growth %?	Information Search
What are the top oil fracking locations in the united states?	Ranking Search
how are you?	Unknown Intent
How are banks adopting DeFi?	Deep Search
how to increase solventborne basecoat resisitivity	Deep Search
What do I need to consider when adjusting the atomization parameter?	Specific Search
who is taking about consolidating bank branches?	Deep Search
pigment	General Search
dualcure	General Search
What does a bank's stress test peformance history look like, both currently and historically?	Specific Search
What is CIELAB?	Specific Search
does clearcoat thickness impact appearance?	Specific Search
Outstanding issuances of perpetual preferred stock	Numerical Search
how to stop sag?	Deep Search
How to include or exclude the impact caused by surface  phenomena?	Deep Search
what are l a b c h values	Specific Search
what is hiding	Specific Search
Which utilities mention reducing operation and maintenance budgets?	General Search
eggshells	Unknown Intent
Hydrolan	General Search
biden infrastructure bill	Deep Search
what is the surface area of black pigments?	Specific Search
What was Mastec's electric transmission segment revenue growth in 3Q20?	General Search
mapping	General Search
How to improve flake orientation	Deep Search
what bank worked on the most IPOs in 2021	Ranking Search
net charge offs at bank of america	Information Search
what is entergy's 3 year capital plan?	General Search
Capex spending for NextEra Energy	General Search
what is the deposit market of the community bank based in chester	Specific Search
Did Graybar announce a new Vice President Strategic Accounts?	Specific Search
spend volumes at american express	Information Search
How much is Evergy expected to invest as part of their STP?	Deep Search
what is the order rate for peers for q1 2021?	Deep Search
what banks are contemplating being acquired	General Search
which catalysts can be used	Specific Search
hubbell net income	Deep Search
clearcoat hardness	General Search
how to measure roughness	Deep Search
