question	Category
how many bank branches closes in us in 2020	Numerical Search
Numerical Searchber of bank mergers in 2020	Numerical Search
how many banks in conneticut	Numerical Search
how many bank branches does chase bank have	Numerical Search
how many bonds did goldman sachs issue in 2019	Numerical Search
How many branches does Chase bank have in Connecticut	Numerical Search
How many branches does Chase bank have in New York	Numerical Search
how many branches does Chase have in New York	Numerical Search
how many branches does Citibank have in New York	Numerical Search
how many online only retail banks in the US	Numerical Search
bank branches reduction in 2020	Numerical Search
how many bank branches are there in nevada?	Numerical Search
top oil producers in united states	Ranking Search
What are the top oil fracking locations in the united states?	Ranking Search
most successful retail bank in Maine	Ranking Search
what bank worked on the most IPOs in 2021	Ranking Search
what is a bank that does a lot of mortgage lending	Ranking Search
what was the leading bank for IPOs in 2019	Ranking Search
what's the biggest bank in the US	Ranking Search
what's the biggest wealth management firm in the us	Ranking Search
what's the biggest wealth management firm in the us by aum	Ranking Search
what's the largest bank in the US	Ranking Search
which banks did the most M&A business in 2021	Ranking Search
Who is the largest bank in connecticut?	Ranking Search
what are the largest US banks by assets	Ranking Search
Which U.S. bank has the highest deposit market share?	Ranking Search
Which U.S. bank was the originator of the highest mortgage loan volume in 2020?	Ranking Search
banks with loan growth	General Search
west coast banks	General Search
what is BNPL	Specific Search
where is bitcoin trading	Specific Search
how is the 10 yr treasury today	Specific Search
is there any m&a activity in oil	Specific Search
verizon and 5g	General Search
what are analysts saying about verizon and 5g	Specific Search
M&A activity in oil	Specific Search
goldman sachs q3 net interest income	Information Search
how are fed interest rate reductions going to impact banks?	Deep Search
how are interest rate reductions going to impact banks?	Deep Search
huntington bancshares ceo	Specific Search
recent executive changes	General Search
what banks have recently been acquired?	Specific Search
what interest rate assumptions are banks building into their earnings guidance?	Specific Search
which banks are contemplating acquisitions?	Specific Search
which banks are discussing acquiring other banks?	Specific Search
which banks are discussion fintech competition?	Specific Search
which banks ipo'd in 2021?	Specific Search
who acquired banks in 2021?	Specific Search
who is hban's ceo	Specific Search
who is huntington bancshare's ceo?	Specific Search
who is reporting earnings next week?	Specific Search
who is talking about consolidating bank branches?	Specific Search
crypto strategy	General Search
jpmorgan 10K	Information Search
which banks are discussing crypto	Specific Search
who discussed acquisitions last quarter?	Specific Search
who missed revenue last quarter?	Specific Search
net interest margin at USB	Information Search
nonaccrual loans at mtb	Information Search
autonomous	General Search
autonomous vechiles	General Search
self drive cars	General Search
when does Apple next Quarter start?	Specific Search
when does Apples next Quarter start?	Specific Search
american express discount rate	Information Search
axp discount rate	Information Search
commercial loans at wells fargo	Specific Search
directors of signature bank	Specific Search
fdic	General Search
deposit growth at catc	Information Search
inside ownership at sbny	Specific Search
interest rate sensitivity at cfg	Information Search
larry seidman	Specific Search
loan growth at bank of america	Information Search
net charge offs at bank of america	Information Search
net interest margin at pnc	Information Search
Numerical Searchber of PNC branches	Numerical Search
regions  net charge offs	Information Search
regions bank net charge offs	Information Search
seidman	Specific Search
spend volumes at american express	Information Search
spend volumes at axp	Information Search
total commercial loans at wells fargo	Information Search
us bank deposit growt	Specific Search
us bank deposit growth	Specific Search
what does jaime dimon say about crypto	Specific Search
who is talking about crypto	Specific Search
where can i find tier 1 capital ratio	Specific Search
which banks have branches closest to buffalo new york	Specific Search
oil price in permian basin	Information Search
price of oil	Specific Search
What oil well are in the permian basin?	Specific Search
What oil wells are in the permian basin?	Specific Search
Bank of America EPS 2021	Information Search
How big is Chase bank	Specific Search
What are Chase bank's subsidiaries	Information Search
what are current mortgage lending rates from citibank	Information Search
what do banks do	General Search
Where are Chase bank's subsidiaries	Information Search
which banks failed in 2008	Specific Search
which banks merged in 2021	Specific Search
which banks were responsible for the economic crisis of 2008	Specific Search
how is the oil sector doing	General Search
how is the oild sector doing	General Search
what is the price of oil	General Search
Who are the GSIBS?	Specific Search
Who's talking about Basel IV?	Specific Search
Why is M&T merging with Peoples?	Specific Search
2022 guidance	General Search
acquisition plans	General Search
bank cre guidance	General Search
deposit betas	General Search
NIM trends	General Search
what are bank crypto plands	Specific Search
what are bank crypto plans	Specific Search
what are bank loan growth expectations	Specific Search
Are banks investing in cryptocurrencies?	Specific Search
Aside from Credit Risk, what are the additional types of risk a bank is exposed to?	Specific Search
are banks adopting decentralized finance?	Specific Search
How are banks adopting DeFi?	Deep Search
How are banks incorporating blockchain technology?	Deep Search
How are projected cash flows calculated for a bank through a discounted cashflow (DCF) model?	Deep Search
How can a bank's credit risk be quantified?	Deep Search
How can a bank's liquidity health be measured from their balance sheet?	Deep Search
How can you determine the amount of Risk-Weighted assets held by a bank?	Deep Search
How does a Bank make money through assets and liabilities, such as loans and deposits?	Deep Search
How does a bank's credit risk standing effect interest rates for their capital?	Deep Search
How does a Nonperforming Loan become a Reperforming Loan?	Deep Search
How is a bank's Capital Adequacy Ratio calculated?	Deep Search
How is a bank's efficiency ratio calculated?	Deep Search
How is a bank's Loan-To-Deposit ratio calculated?	Deep Search
How is a bank's Net Interest Income calculated?	Deep Search
How is a bank's Solvency Ratio calculated?	Deep Search
How is DeFi disrupting the banking industry?	Deep Search
What are considered liquid assets on a banks balance sheet?	Specific Search
What are the different types of Nonperforming Loans (NPLs)?	Specific Search
what are the largest banks in the US	Ranking Search
What assest and expenses are considered interest bearing for a bank?	Specific Search
What does a bank's stress test peformance history look like, both currently and historically?	Specific Search
What is the most important asset on a bank balance sheet?	Specific Search
What is the significance of a bank's capital tiers, such as tier 1 and tier 2 capital?	Specific Search
What line items are considered Tier-1 Capital?	Specific Search
What valuation multiples and metrics are most important when performing comparable analysis across banks?	Specific Search
Why is shareholder equity an important metric for assessing leverage and loan risk?	Specific Search
What does the Herfindahl-Hirschman Index (HHI) represent?	Specific Search
Which banks are considered to be part of the bulge bracket?	Specific Search
did the Numerical Searchber of bank branches grow or shrink in 2021?	Numerical Search
did the Numerical Searchber of bank of hawaii branches grow or shrink in 2021?	Numerical Search
is the Numerical Searchber of bank branches for huntington bancshares increasing or decreasing?	Numerical Search
300 bp improvement in ROTCE	Unknown Intent
8QUHDOL]HGORVVHVRQLQYHVWPHQWVHFXULWLHVDYDLODEOHIRUVDOH	Unknown Intent
abbb Outstanding issuances	Unknown Intent
abbb Outstanding issuances of perpetual preferred stock	Unknown Intent
alerus annual report	Information Search
Alerus annual report	Information Search
allowance for credit losses	Specific Search
allowence for credit losses	Specific Search
Are banks investing in cryptocurrencies?	Specific Search
autonomous	General Search
autonomous vechiles	General Search
bancorp net income	Information Search
bandicorp earnings	Information Search
bank branches reduction in 2020	Specific Search
Bank of America EPS 2021	Information Search
banks with loan growth	Specific Search
bnpl	General Search
citibank earnings	Information Search
citigroup earnings	Information Search
citigroup revenue	Information Search
Citigroup revenue	Information Search
company net income	General Search
core values of goldman sachs	Specific Search
corparate banking	General Search
corporate banking	General Search
corporate planning	General Search
did the Numerical Searchber of bank branches grow or shrink in 2021?	Specific Search
Earning presentation	General Search
earnings	General Search
Exton, Pennsylvania Branch	Specific Search
finance	General Search
Finance	General Search
five star bancorp commercial lending	Information Search
five star bancorp Loan Portfolio Composition	Information Search
Funding secured by level 2A liquid assets	Information Search
goldman sachs q3 net interest income	Information Search
gross income	General Search
HBAN FR	Information Search
